strategy,family,symbol,fold_year,fold_type,horizon_ms,train_events,train_months,test_events,test_months,train_eligible,test_eligible,train_mean_bp,train_ci_low_bp,train_ci_high_bp,train_p_positive,train_p_two_sided,test_mean_bp,test_ci_low_bp,test_ci_high_bp,test_p_positive,test_p_two_sided,train_bh_q,train_by_q,train_family_bh_q,train_family_by_q,test_bh_q,test_by_q,test_family_bh_q,test_family_by_q,primary_selection,oos_positive,oos_survives_selection,oos_fdr_significant,selected_oos_fdr_significant,monitoring_only
btc_long_ret-2_oinone_entry60_exit4h,liq_reversion,BTCUSDT,2025,formal_oos,14400000,171,24,72,12,True,True,8.670967235736198,-11.590081513226972,27.60163186705566,0.19090454772613694,0.3888055972013993,-12.598351527692442,-52.64184146650534,46.09653783321088,0.6541729135432284,0.6176911544227887,0.4842456820370303,1.0,0.4699188867104909,1.0,1.0,1.0,1.0,1.0,False,False,False,False,False,False
btc_long_ret-2_oinone_entry60_exit24h,liq_reversion,BTCUSDT,2025,formal_oos,86400000,132,24,60,12,True,True,43.38159678743079,-1.3472820287621403,80.8650387422167,0.017491254372813594,0.04547726136931534,0.9892185014657787,-77.39192520478124,62.00396688444183,0.5162418790604698,0.9775112443778111,0.15592203898050974,0.9226149761898751,0.14392803598200898,0.8401529873042188,1.0,1.0,1.0,1.0,False,True,False,False,False,False
btc_long_ret-2_oinone_entry60_exit72h,liq_reversion,BTCUSDT,2025,formal_oos,259200000,94,24,39,12,True,True,84.87874103456359,0.8830846119312616,171.055794208682,0.02948525737131434,0.05647176411794103,7.9680459795849155,-142.29085482303833,131.84297816322783,0.47276361819090457,0.9130434782608695,0.18343769291824674,1.0,0.1693271011553047,0.9884152791814339,1.0,1.0,1.0,1.0,False,True,False,False,False,False
btc_long_ret-3_oi-1_entry0_exit4h,liq_reversion,BTCUSDT,2025,formal_oos,14400000,50,21,16,8,True,True,54.588035039951826,6.977309585252221,101.56654496841985,0.012993503248375811,0.02448775612193903,-33.40436978196868,-139.68963576886543,73.76160645111094,0.7476261869065467,0.543728135932034,0.15592203898050974,0.9226149761898751,0.14392803598200898,0.8401529873042188,1.0,1.0,1.0,1.0,False,False,False,False,False,False
btc_long_ret-3_oi-1_entry0_exit24h,liq_reversion,BTCUSDT,2025,formal_oos,86400000,47,21,15,8,True,True,65.6251162984177,15.434163396391922,130.64154807198832,0.019490254872563718,0.025487256371814093,79.73190741611432,-145.51591854852956,233.83033807003747,0.19540229885057472,0.42128935532233885,0.16215892053973013,0.9595195752374701,0.14968515742128935,0.8737591067963876,1.0,1.0,1.0,1.0,False,True,False,False,False,False
btc_long_ret-3_oi-1_entry0_exit72h,liq_reversion,BTCUSDT,2025,formal_oos,259200000,43,21,12,8,True,True,164.38304109195536,14.77761392092889,289.6589368114811,0.001999000499750125,0.018490754622688656,141.42694907509832,-53.61948065331182,308.28889589263304,0.063968015992004,0.1424287856071964,0.06929868399133766,0.4100511005288334,0.063968015992004,0.37340132769076395,0.8652515847339487,1.0,0.8422455438947193,1.0,False,True,False,False,False,False
btc_long_ret-3_oi-1_entry30_exit4h,liq_reversion,BTCUSDT,2025,formal_oos,14400000,50,21,16,8,True,True,37.693728040108056,-1.1371778372460577,75.49293174215293,0.02948525737131434,0.05997001499250375,-68.69817352121333,-151.6341112669527,22.677258505599504,0.9440279860069966,0.11744127936031984,0.18343769291824674,1.0,0.1693271011553047,0.9884152791814339,1.0,1.0,1.0,1.0,False,False,False,False,False,False
btc_long_ret-3_oi-1_entry30_exit24h,liq_reversion,BTCUSDT,2025,formal_oos,86400000,47,21,15,8,True,True,64.92512562665335,10.363123314649446,127.02362414817613,0.01699150424787606,0.025987006496751622,34.54325053055218,-180.74767421771432,158.45076915996705,0.37881059470264866,0.729135432283858,0.15592203898050974,0.9226149761898751,0.14392803598200898,0.8401529873042188,1.0,1.0,1.0,1.0,False,True,False,False,False,False
btc_long_ret-3_oi-1_entry30_exit72h,liq_reversion,BTCUSDT,2025,formal_oos,259200000,43,21,12,8,True,True,139.66026900626937,-2.697739130886902,248.90202071181608,0.0074962518740629685,0.03698150924537731,128.6218448143949,-127.59564215125255,320.17998687982265,0.14492753623188406,0.2818590704647676,0.1199400299850075,0.7097038278383655,0.1107138738323146,0.6462715286955529,1.0,1.0,1.0,1.0,False,True,False,False,False,False
btc_long_ret-3_oi-1_entry60_exit4h,liq_reversion,BTCUSDT,2025,formal_oos,14400000,50,21,16,8,True,True,42.91611075589538,-1.4066215383705534,93.32523043649275,0.05347326336831584,0.0864567716141929,-71.39967674384067,-197.2800075467743,28.74770200939419,0.8975512243878061,0.19940029985007496,0.23604864234549391,1.0,0.22252703435516283,1.0,1.0,1.0,1.0,1.0,False,False,False,False,False,False
