strategy,family,symbol,bucket,scope,events,months,eligible,mean_bp,ci_low_bp,ci_high_bp,p_positive,p_two_sided,oos_bh_q,oos_by_q,oos_family_bh_q,oos_family_by_q,primary_selection,selected_strategy,oos_fdr_significant,selected_oos_fdr_significant
btc_long_ret-2_oi-2_entry0_exit72h,liq_reversion,BTCUSDT,uptrend_low_vol,exploratory,8,7,False,300.7426476304381,105.13888918623138,504.7783668025078,0.0009995002498750624,0.0014992503748125937,,,,,False,False,False,False
btc_long_ret-2_oi-2_entry0_exit72h,liq_reversion,BTCUSDT,uptrend_high_vol,exploratory,1,1,False,155.9970175961818,155.9970175961818,155.9970175961818,0.0004997501249375312,0.0004997501249375312,,,,,False,False,False,False
btc_long_ret-2_oi-2_entry0_exit72h,liq_reversion,BTCUSDT,downtrend_low_vol,exploratory,4,3,False,-332.2696884493164,-1124.369527925259,97.26357968218923,0.8500749625187406,0.1904047976011994,,,,,False,False,False,False
btc_long_ret-2_oi-2_entry0_exit72h,liq_reversion,BTCUSDT,downtrend_high_vol,exploratory,4,2,False,125.20144147323649,72.21606024274493,284.1575851647111,0.24737631184407796,0.24737631184407796,,,,,False,False,False,False
btc_long_ret-2_oi-2_entry30_exit4h,liq_reversion,BTCUSDT,all,primary,25,11,True,-16.30227407979542,-46.82567820686235,16.40539354306549,0.8415792103948025,0.32233883058470764,1.0,1.0,1.0,1.0,False,False,False,False
btc_long_ret-2_oi-2_entry30_exit4h,liq_reversion,BTCUSDT,uptrend,primary,12,7,True,22.07334887204892,-12.951528263737659,54.96309723211455,0.10794602698650675,0.20589705147426288,1.0,1.0,1.0,1.0,False,False,False,False
btc_long_ret-2_oi-2_entry30_exit4h,liq_reversion,BTCUSDT,downtrend,primary,13,5,True,-51.725926035344045,-101.68626678462512,-28.88872950698779,0.9810094952523738,0.019490254872563718,1.0,1.0,1.0,1.0,False,False,False,False
btc_long_ret-2_oi-2_entry30_exit4h,liq_reversion,BTCUSDT,uptrend_low_vol,exploratory,11,7,True,20.841475600152087,-17.06427390017007,57.67644264052534,0.12393803098450774,0.2513743128435782,1.0,1.0,1.0,1.0,False,False,False,False
btc_long_ret-2_oi-2_entry30_exit4h,liq_reversion,BTCUSDT,uptrend_high_vol,exploratory,1,1,False,35.62395486291405,35.62395486291405,35.62395486291405,0.0004997501249375312,0.0004997501249375312,,,,,False,False,False,False
btc_long_ret-2_oi-2_entry30_exit4h,liq_reversion,BTCUSDT,downtrend_low_vol,exploratory,6,4,False,-47.11512788184683,-124.4177007593051,81.13097288056869,0.8640679660169915,0.2938530734632684,,,,,False,False,False,False
btc_long_ret-2_oi-2_entry30_exit4h,liq_reversion,BTCUSDT,downtrend_high_vol,exploratory,7,2,False,-55.67803873834166,-112.35467070504701,-33.007385951659515,0.7406296851574213,0.25987006496751625,,,,,False,False,False,False
