ts,rate,interval_hours,pctile,decile,fwd_ret_8h,fwd_ret_24h,fwd_ret_72h
1700179200000,0.0001,8.0,72.96296296296296,7,0.0027458701338920477,0.012460111604550406,0.03379383575659367
1700208000001,0.0001,8.0,72.5925925925926,7,-0.004649405587559663,0.004767984733624386,0.027151866794254298
1700236800001,0.0001,8.0,72.22222222222221,7,0.014404016168847678,0.015703397508180172,0.039787666128259236
1700265600000,0.0001,8.0,71.85185185185186,7,-0.004872453159993517,-0.0009422625225323777,0.023308024253017923
1700294400000,0.0001,8.0,71.48148148148148,7,0.006183512828113136,0.004951201572088948,0.023740517515836057
1700323200000,0.0001,8.0,71.11111111111111,7,-0.002220349200374283,-0.002315818760586952,0.008434053719357681
1700352000000,0.0001,8.0,70.74074074074073,7,0.0009978266515398015,0.022034199483317085,-0.02348856600008198
1700380800000,0.0001,8.0,70.37037037037037,7,-0.0010924186148132398,0.017241096788289445,-0.0048612628359187005
1700409600000,0.0001,8.0,70.0,6,0.022131999125109436,0.026088145231845994,-0.002537182852143549
1700438400000,0.0001,8.0,69.62962962962963,6,-0.003696620347460877,0.002190688903451976,0.001425686429230577
1700467200000,0.0001,8.0,69.25925925925925,6,0.007595181395698258,0.001430976204986445,0.004099626013160718
1700496000000,0.0001,8.0,68.88888888888889,6,-0.001673319087028502,-0.014923981220457128,-0.01566205349292027
1700524800000,0.0001,8.0,68.51851851851852,6,-0.004451870159125071,-0.04662987023385656,-0.004814852378334233
1700553600000,0.0001,8.0,68.14814814814815,6,-0.008860447285030215,-0.023125633367827803,0.006683538602596295
1700582400000,0.0001,8.0,67.77777777777779,6,-0.03380569703625347,-0.013170102325933741,0.03516084619733251
1700611200000,0.0001,8.0,67.4074074074074,6,0.020092216470746216,0.048109898293127396,0.05552304991839363
1700640000000,0.0001,8.0,67.03703703703704,6,0.0012404632526481496,0.02640100993468364,0.037208408803995896
1700668800000,0.0001,8.0,66.66666666666666,6,0.026192877817735383,0.012586615209192242,0.033311222699763166
1700697600000,0.0001,8.0,66.2962962962963,6,-0.001036358002927562,-0.00405461713516464,0.00862741327179295
1700726400000,0.0001,8.0,65.92592592592592,6,-0.012235294117647011,0.004008021390374372,0.009981283422459963
1700755200001,0.0001,8.0,65.55555555555556,6,0.00932803499501933,0.03593702628957507,0.013117718394040523
1700784000000,0.0001,8.0,65.18518518518519,6,0.007050714726312135,0.011172794807841946,0.004339313970016523
1700812800000,0.0001,8.0,64.81481481481481,6,0.019177148274695854,0.006495356845158007,-0.007238368144788732
1700841600000,0.0001,8.0,64.44444444444444,6,-0.01480010452051217,-0.014933368173504102,-0.038795401097465265
1700870400000,0.0001,8.0,64.07407407407408,6,0.0023923444976077235,0.001543619176948674,-0.012362214748724232
1700899200000,0.0001,8.0,63.70370370370371,6,-0.0025215776132594403,-0.0005424170101974157,-0.018770274489466554
1700928000000,0.0001,8.0,63.33333333333333,6,0.0016791119010040045,-0.007201878058808675,-0.004546599997347411
1700956800000,0.0001,8.0,62.96296296296296,6,0.00030454056745177205,-0.008288799792382728,0.0013664602852618835
1700985600000,0.0001,8.0,62.59259259259259,6,-0.009167851365912028,-0.013109789189718724,0.00876280335580959
1701014400000,0.0001,8.0,62.22222222222222,6,0.0005824672028216238,-0.017145376332594053,0.009554599620594795
