ts,oi_signal_ts,funding_pctile,oi_chg_7d_pctile,entry_ts,exit_ts,net_bp,year
1710403200000,1710374100000,84.81481481481481,90.0,1710403260000,1710662460000,1030.7913867858515,2024
1710432000000,1710374100000,84.44444444444444,90.0,1710432060000,1710691260000,417.86489608202703,2024
1710460800000,1710460500000,84.44444444444444,94.44444444444444,1710460860000,1710720060000,415.07907502104047,2024
1711612800000,1711583700000,77.77777777777779,81.11111111111111,1711612860000,1711872060000,-2.3037283285391883,2024
1711641600000,1711583700000,77.4074074074074,81.11111111111111,1711641660000,1711900860000,104.94511584597977,2024
1711728000000,1711670100000,79.25925925925927,90.0,1711728060000,1711987260000,122.09955633506308,2024
1711785600000,1711756500000,81.48148148148148,91.11111111111111,1711785660000,1712044860000,470.7440663425795,2024
1711814400000,1711756500000,83.7037037037037,91.11111111111111,1711814460000,1712073660000,692.3292079490791,2024
1711843200000,1711842900000,81.85185185185185,78.88888888888889,1711843260000,1712102460000,581.0458770898725,2024
1711872000000,1711842900000,86.66666666666667,78.88888888888889,1711872060000,1712131260000,582.9241438507033,2024
1711900800001,1711842900000,86.66666666666667,78.88888888888889,1711900860000,1712160060000,628.8287587635883,2024
1711929600000,1711929300000,98.14814814814815,75.55555555555556,1711929660000,1712188860000,732.9576341081619,2024
1711958400000,1711929300000,82.5925925925926,75.55555555555556,1711958460000,1712217660000,498.4021543985647,2024
1711987200000,1711929300000,76.66666666666667,75.55555555555556,1711987260000,1712246460000,97.1890975024854,2024
1728576000000,1728518100000,90.0,75.55555555555556,1728576060000,1728835260000,-235.88779789806156,2024
1729641600000,1729641300000,82.22222222222221,76.66666666666667,1729641660000,1729900860000,85.67684405128962,2024
1729670400000,1729641300000,82.22222222222221,76.66666666666667,1729670460000,1729929660000,-32.83258890507777,2024
1729699200000,1729641300000,82.22222222222221,76.66666666666667,1729699260000,1729958460000,-103.22777906881896,2024
1730332800000,1730332500000,78.14814814814814,86.66666666666667,1730332860000,1730592060000,403.652129705357,2024
1730361600000,1730332500000,78.14814814814814,86.66666666666667,1730361660000,1730620860000,548.3136800264994,2024
1730390400000,1730332500000,78.14814814814814,86.66666666666667,1730390460000,1730649660000,335.10498800368003,2024
1730419200000,1730418900000,78.14814814814814,75.55555555555556,1730419260000,1730678460000,218.26125624083105,2024
1730448000000,1730418900000,78.14814814814814,75.55555555555556,1730448060000,1730707260000,75.65995034928676,2024
1730476800000,1730418900000,77.77777777777779,75.55555555555556,1730476860000,1730736060000,105.82697900327244,2024
1730505600000,1730505300000,77.4074074074074,76.66666666666667,1730505660000,1730764860000,231.61433788259924,2024
1730534400000,1730505300000,77.4074074074074,76.66666666666667,1730534460000,1730793660000,119.27432310107358,2024
1730563200000,1730505300000,77.03703703703704,76.66666666666667,1730563260000,1730822460000,-37.017563683847,2024
1730592000000,1730591700000,77.03703703703704,87.77777777777777,1730592060000,1730851260000,-22.462798288411122,2024
1730620800000,1730591700000,77.03703703703704,87.77777777777777,1730620860000,1730880060000,-771.8782042564014,2024
1730649600000,1730591700000,76.66666666666667,87.77777777777777,1730649660000,1730908860000,-930.4624323971116,2024
1732435200000,1732406100000,95.92592592592592,94.44444444444444,1732435260000,1732694460000,484.35489081165196,2024
1732464000000,1732406100000,97.4074074074074,94.44444444444444,1732464060000,1732723260000,14.988559946361292,2024
1732492800000,1732492500000,95.92592592592592,76.66666666666667,1732492860000,1732752060000,202.86579789736206,2024
1732550400000,1732492500000,97.4074074074074,76.66666666666667,1732550460000,1732809660000,74.65523415877541,2024
1732579200000,1732578900000,96.66666666666667,93.33333333333333,1732579260000,1732838460000,-302.89509768101453,2024
1732608000000,1732578900000,94.44444444444444,93.33333333333333,1732608060000,1732867260000,-227.94418995641206,2024
1732636800000,1732578900000,97.77777777777777,93.33333333333333,1732636860000,1732896060000,-580.7548842413295,2024
1733356800001,1733356500000,97.03703703703704,98.88888888888889,1733356860000,1733616060000,-138.9916422349773,2024
1733385600000,1733356500000,100.0,98.88888888888889,1733385660000,1733644860000,256.4495138150642,2024
1733414400000,1733356500000,99.25925925925925,98.88888888888889,1733414460000,1733673660000,131.69657759320287,2024
1733472000000,1733442900000,87.03703703703704,97.77777777777777,1733472060000,1733731260000,-150.37806232681848,2024
1744243200000,1744242900000,75.55555555555556,96.66666666666667,1744243260000,1744502460000,-336.136817088341,2025
1744531200000,1744502100000,78.88888888888889,98.88888888888889,1744531260000,1744790460000,118.63234210520113,2025
1744560000000,1744502100000,87.03703703703704,98.88888888888889,1744560060000,1744819260000,-137.3858439513025,2025
1744588800000,1744588500000,77.03703703703704,91.11111111111111,1744588860000,1744848060000,-47.43961985438515,2025
1745280000008,1745279700000,80.74074074074075,95.55555555555556,1745280060000,1745539260000,-743.8527492072782,2025
1747872000001,1747871700000,95.55555555555556,92.22222222222223,1747872060000,1748131260000,163.64161759032393,2025
1747900800000,1747871700000,95.18518518518519,92.22222222222223,1747900860000,1748160060000,292.94447696250404,2025
1747929600002,1747871700000,94.81481481481482,92.22222222222223,1747929660000,1748188860000,368.25626049709916,2025
1747958400006,1747958100000,91.85185185185185,96.66666666666667,1747958460000,1748217660000,227.3640766737546,2025
1747987200000,1747958100000,85.92592592592592,96.66666666666667,1747987260000,1748246460000,44.935175821317465,2025
1748016000007,1747958100000,90.74074074074075,96.66666666666667,1748016060000,1748275260000,-119.60243895719967,2025
1748131200004,1748130900000,94.44444444444444,94.44444444444444,1748131260000,1748390460000,-122.23218291758918,2025
1748217600000,1748217300000,84.81481481481481,91.11111111111111,1748217660000,1748476860000,92.53673873797787,2025
1748246400000,1748217300000,95.18518518518519,91.11111111111111,1748246460000,1748505660000,190.63031842181567,2025
1748275200002,1748217300000,94.07407407407408,91.11111111111111,1748275260000,1748534460000,263.34918081945284,2025
1748304000003,1748303700000,85.55555555555556,94.44444444444444,1748304060000,1748563260000,329.81553663557884,2025
1748332800001,1748303700000,83.7037037037037,94.44444444444444,1748332860000,1748592060000,405.29552517459666,2025
1752105600003,1752105300000,94.44444444444444,75.55555555555556,1752105660000,1752364860000,-569.8117645789685,2025
1752134400000,1752105300000,90.74074074074075,75.55555555555556,1752134460000,1752393660000,-626.3939724060623,2025
1752278400000,1752278100000,92.96296296296296,96.66666666666667,1752278460000,1752537660000,-201.87003769822118,2025
1752307200001,1752278100000,92.5925925925926,96.66666666666667,1752307260000,1752566460000,66.4423223452122,2025
1752336000002,1752278100000,92.22222222222223,96.66666666666667,1752336060000,1752595260000,41.09674818138022,2025
1752364800006,1752364500000,91.85185185185185,98.88888888888889,1752364860000,1752624060000,-36.29603134048741,2025
1752393600001,1752364500000,91.48148148148148,98.88888888888889,1752393660000,1752652860000,-32.49629056977386,2025
1752422400003,1752364500000,91.11111111111111,98.88888888888889,1752422460000,1752681660000,-41.10737504351357,2025
1752451200000,1752450900000,85.55555555555556,100.0,1752451260000,1752710460000,21.27489467516243,2025
1752480000000,1752450900000,90.74074074074075,100.0,1752480060000,1752739260000,342.5934697491058,2025
1752508800000,1752450900000,90.37037037037037,100.0,1752508860000,1752768060000,65.16644063977517,2025
1752537600002,1752537300000,90.0,100.0,1752537660000,1752796860000,31.05335837503899,2025
1752566400000,1752537300000,89.62962962962962,100.0,1752566460000,1752825660000,-244.87574533020572,2025
1752595200000,1752537300000,89.25925925925927,100.0,1752595260000,1752854460000,-139.64657134660263,2025
1752624000000,1752623700000,88.88888888888889,98.88888888888889,1752624060000,1752883260000,-32.14214262528368,2025
1752652800000,1752623700000,88.51851851851852,98.88888888888889,1752652860000,1752912060000,-10.987844769087417,2025
1752681600008,1752623700000,88.14814814814815,98.88888888888889,1752681660000,1752940860000,65.1772758948528,2025
1752796800004,1752796500000,86.66666666666667,76.66666666666667,1752796860000,1753056060000,162.5829973642574,2025
1752825600000,1752796500000,86.29629629629629,76.66666666666667,1752825660000,1753084860000,-4.818024460715874,2025
1752854400000,1752796500000,85.92592592592592,76.66666666666667,1752854460000,1753113660000,-50.84959697874079,2025
1762531200005,1762473300000,77.77777777777779,81.11111111111111,1762531260000,1762790460000,-428.16642272025905,2025
1762704000005,1762646100000,81.48148148148148,90.0,1762704060000,1762963260000,147.57414813629867,2025
1762732800000,1762732500000,80.74074074074075,95.55555555555556,1762732860000,1762992060000,271.52087337146315,2025
1763078400000,1763078100000,80.37037037037037,93.33333333333333,1763078460000,1763337660000,515.2686604674535,2025
1763107200000,1763078100000,84.07407407407408,93.33333333333333,1763107260000,1763366460000,138.6852014944058,2025
1763136000001,1763078100000,83.7037037037037,93.33333333333333,1763136060000,1763395260000,280.3524205389092,2025
1763164800005,1763164500000,80.0,84.44444444444444,1763164860000,1763424060000,265.8657640236191,2025
1763193600000,1763164500000,87.77777777777777,84.44444444444444,1763193660000,1763452860000,577.7067496359008,2025
1763280000000,1763250900000,87.4074074074074,98.88888888888889,1763280060000,1763539260000,437.17051603797864,2025
1763337600003,1763337300000,87.03703703703704,100.0,1763337660000,1763596860000,275.7884621712543,2025
1763366400003,1763337300000,84.81481481481481,100.0,1763366460000,1763625660000,342.17229324747535,2025
1763424000002,1763423700000,86.66666666666667,100.0,1763424060000,1763683260000,580.027275045993,2025
1763452800004,1763423700000,86.29629629629629,100.0,1763452860000,1763712060000,713.0483280904893,2025
1763625600000,1763596500000,85.92592592592592,100.0,1763625660000,1763884860000,686.3757261797849,2025
1763654400000,1763596500000,81.11111111111111,100.0,1763654460000,1763913660000,290.6824887748556,2025
1766534400001,1766534100000,89.62962962962962,77.77777777777779,1766534460000,1766793660000,0.1344534163401203,2025
1766563200001,1766534100000,81.11111111111111,77.77777777777779,1766563260000,1766822460000,-89.73873475553717,2025
1767484800000,1767484500000,88.14814814814815,76.66666666666667,1767484860000,1767744060000,-343.65820415945757,2026
1769529600000,1769471700000,76.66666666666667,86.66666666666667,1769529660000,1769788860000,570.5766762543003,2026
1777392000004,1777334100000,94.44444444444444,76.66666666666667,1777392060000,1777651260000,-340.295307646669,2026
1777766400005,1777766100000,76.66666666666667,85.55555555555556,1777766460000,1778025660000,-296.58390759010376,2026
1777852800000,1777852500000,91.85185185185185,85.55555555555556,1777852860000,1778112060000,-394.61829273269063,2026
1778227200002,1778198100000,78.51851851851852,91.11111111111111,1778227260000,1778486460000,-149.36489503569894,2026
1780012800000,1780012500000,98.88888888888889,76.66666666666667,1780012860000,1780272060000,-11.556920362390409,2026
1780041600001,1780012500000,89.62962962962962,76.66666666666667,1780041660000,1780300860000,93.31585328063508,2026
1780070400008,1780012500000,94.44444444444444,76.66666666666667,1780070460000,1780329660000,343.6966870899534,2026
1780272000001,1780271700000,89.62962962962962,77.77777777777779,1780272060000,1780531260000,1251.7430474005394,2026
1780300800001,1780271700000,82.5925925925926,77.77777777777779,1780300860000,1780560060000,1259.9807329819919,2026
1780329600000,1780271700000,98.51851851851852,77.77777777777779,1780329660000,1780588860000,1010.6973283923678,2026
1780444800013,1780444500000,94.44444444444444,87.77777777777777,1780444860000,1780704060000,832.3892609414625,2026
1780473600000,1780444500000,84.44444444444444,87.77777777777777,1780473660000,1780732860000,920.3760281426383,2026
1780502400001,1780444500000,97.77777777777777,87.77777777777777,1780502460000,1780761660000,790.9979795594986,2026
1782432000010,1782431700000,83.7037037037037,83.33333333333334,1782432060000,1782691260000,38.181361600608376,2026
1782460800002,1782431700000,88.88888888888889,83.33333333333334,1782460860000,1782720060000,67.29395776086956,2026
1782489600000,1782431700000,94.44444444444444,83.33333333333334,1782489660000,1782748860000,109.5173621435881,2026
1782518400000,1782518100000,82.5925925925926,81.11111111111111,1782518460000,1782777660000,-29.692160742308836,2026
1782547200000,1782518100000,77.03703703703704,81.11111111111111,1782547260000,1782806460000,142.57979184448666,2026
1782604800000,1782604500000,76.66666666666667,77.77777777777779,1782604860000,1782864060000,209.7139819989131,2026
1782662400000,1782604500000,77.4074074074074,77.77777777777779,1782662460000,1782921660000,-52.507287149089905,2026
1782864000000,1782863700000,82.96296296296296,94.44444444444444,1782864060000,1783123260000,-679.878154404107,2026
1782921600000,1782863700000,91.85185185185185,94.44444444444444,1782921660000,1783180860000,-477.7431289763727,2026
1784073600005,1784073300000,94.44444444444444,84.44444444444444,1784073660000,1784332860000,153.87824904555214,2026
1784102400002,1784073300000,94.07407407407408,84.44444444444444,1784102460000,1784361660000,79.5740067730062,2026
1784937600002,1784937300000,75.55555555555556,84.44444444444444,1784937660000,1785196860000,44.38803474267351,2026
1785254400000,1785196500000,80.37037037037037,76.66666666666667,1785254460000,1785513660000,168.81595723705914,2026
