offset_min,mean_ret_all,n_all,mean_ret_top_quartile_funding,n_top_quartile,mean_ret_bottom_quartile_funding,n_bottom_quartile,cum_ret_all,cum_ret_top_quartile,cum_ret_bottom_quartile
-13,-2.5567606515628177e-06,6113.0,1.5573196417510272e-05,976.0,2.0313435452136416e-05,2020.0,5.206671089549366e-05,0.000126913542287402,0.00011355130955546772
-12,8.663849596507165e-06,6113.0,1.930673033212505e-05,976.0,5.650009353139883e-07,2020.0,6.073056049200083e-05,0.00014622027261952704,0.00011411631049078172
-11,-1.739555571192706e-05,6113.0,-2.152902390855374e-06,976.0,1.0159381844884934e-05,2020.0,4.3335004780073775e-05,0.00014406737022867167,0.00012427569233566666
-10,-9.386727392216863e-06,6113.0,2.0239185640182978e-05,976.0,-2.8028821992537476e-05,2020.0,3.3948277387856914e-05,0.00016430655586885466,9.624687034312919e-05
-9,-1.548992789861999e-05,6113.0,-3.52482621679935e-05,976.0,-6.0637581295937476e-06,2020.0,1.8458349489236923e-05,0.00012905829370086114,9.018311221353545e-05
-8,-1.6911688847464954e-06,6113.0,-1.5746582508861955e-05,976.0,7.0504460719895516e-06,2020.0,1.6767180604490426e-05,0.00011331171119199919,9.7233558285525e-05
-7,-1.1620863210689176e-05,6113.0,-1.390791935488166e-05,976.0,-3.1863182244411385e-05,2020.0,5.14631739380125e-06,9.940379183711752e-05,6.537037604111362e-05
-6,4.462677330421538e-06,6113.0,-1.0526122622432359e-05,976.0,-5.180797156855606e-06,2020.0,9.608994724222788e-06,8.887766921468516e-05,6.018957888425801e-05
-5,-9.642612652329928e-06,6113.0,5.143140822570279e-06,976.0,-1.1072329636472334e-05,2020.0,-3.3617928107140146e-08,9.402081003725544e-05,4.911724924778568e-05
-4,9.723696602162421e-06,6113.0,7.843500457978884e-06,976.0,1.1304623481519263e-05,2020.0,9.690078674055281e-06,0.00010186431049523433,6.0421872729304944e-05
-3,-7.04676800538264e-06,6113.0,-6.979144451697952e-06,976.0,2.355663500393309e-05,2020.0,2.6433106686726406e-06,9.488516604353638e-05,8.397850773323804e-05
-2,1.589462871005404e-06,6113.0,-8.129474853275488e-06,976.0,2.9978421489768367e-05,2020.0,4.232773539678044e-06,8.675569119026089e-05,0.0001139569292230064
-1,2.6985827099018008e-05,6113.0,3.864627083666365e-05,976.0,-1.0181645791968557e-05,2020.0,3.121860063869605e-05,0.00012540196202692454,0.00010377528343103785
0,5.1270489245620926e-05,6113.0,0.00012678432512377343,976.0,5.404384020487453e-05,2020.0,8.248908988431698e-05,0.00025218628715069797,0.0001578191236359124
1,-4.1644369268635184e-05,6113.0,-6.867661121077152e-05,976.0,-7.297747349251733e-05,2020.0,4.0844720615681795e-05,0.00018350967593992645,8.484165014339506e-05
2,-2.5119934944687084e-05,6113.0,-4.1702528248017867e-05,976.0,-5.0721585934703945e-05,2020.0,1.572478567099471e-05,0.0001418071476919086,3.412006420869112e-05
3,2.9537018446703327e-06,6113.0,-2.55235280618738e-05,976.0,1.9662437549939452e-05,2020.0,1.8678487515665044e-05,0.00011628361963003479,5.378250175863057e-05
4,1.1737374415678237e-05,6113.0,-7.681986580065869e-06,976.0,1.3835754453527481e-05,2020.0,3.041586193134328e-05,0.00010860163304996892,6.761825621215805e-05
5,4.465917249221495e-06,6113.0,6.860493773186427e-06,976.0,-9.75895643928869e-06,2020.0,3.4881779180564776e-05,0.00011546212682315534,5.785929977286936e-05
6,1.709340419541093e-05,6113.0,3.215938942860715e-05,976.0,1.865849604566241e-05,2020.0,5.19751833759757e-05,0.0001476215162517625,7.651779581853177e-05
7,1.2176051209484332e-05,6113.0,7.776343570549609e-06,976.0,2.0221194964123034e-05,2020.0,6.415123458546003e-05,0.0001553978598223121,9.673899078265481e-05
8,5.026227730400064e-06,6113.0,-5.9263373499124246e-05,976.0,6.230034879839034e-06,2020.0,6.917746231586009e-05,9.613448632318785e-05,0.00010296902566249384
9,1.3296458996934986e-05,6113.0,3.3116362923204395e-06,976.0,5.421149321445684e-05,2020.0,8.247392131279508e-05,9.944612261550829e-05,0.00015718051887695067
10,-5.509797886922166e-06,6113.0,-1.527705162294694e-05,976.0,3.6578746055082216e-05,2020.0,7.69641234258729e-05,8.416907099256134e-05,0.00019375926493203288
11,2.5137009294494544e-06,6113.0,3.6322196631902305e-05,976.0,1.417663477145208e-06,2020.0,7.947782435532236e-05,0.00012049126762446366,0.0001951769284091781
12,2.219110182007344e-06,6113.0,8.922667239785742e-08,976.0,1.3121991447340933e-05,2020.0,8.169693453732971e-05,0.00012058049429686151,0.00020829891985651904
13,1.2086553876062811e-05,6113.0,4.685861797587679e-05,976.0,-3.03816001311599e-05,2020.0,9.378348841339253e-05,0.0001674391122727383,0.00017791731972535913
