ts,leg,net_bp,year
1678406400000,bottom,-853.2031183181525,2023
1678435200000,bottom,-1276.9985058612347,2023
1678464000005,bottom,-2066.551809000733,2023
1678521600003,bottom,-2238.163892651925,2023
1678550400011,bottom,-2919.687652659388,2023
1678579200001,bottom,-2103.212562585343,2023
1678636800005,bottom,-2013.410029498525,2023
1678752000010,top,343.60644628853424,2023
1678809600010,top,188.5870892735071,2023
1678867200000,top,974.9160036504419,2023
1678896000012,top,1125.5594670337773,2023
1679385600004,bottom,-316.0563444950963,2023
1679414400003,bottom,-9.22254388842124,2023
1679443200000,bottom,216.9045333485249,2023
1679472000003,bottom,200.8040224992076,2023
1679529600016,bottom,-99.3954034804305,2023
1679558400001,bottom,37.881706814086435,2023
1679702400015,bottom,89.52246207701366,2023
1679731200011,bottom,175.9224947304412,2023
1679760000011,bottom,224.725254199863,2023
1679788800000,bottom,54.80466472303226,2023
1679817600015,bottom,-222.718232204943,2023
1679932800000,bottom,-531.1457810028835,2023
1679961600007,bottom,-337.39600812082426,2023
1680220800003,bottom,-58.43603709070709,2023
1680508800013,bottom,10.512168540811174,2023
1680566400002,bottom,-102.89224920072492,2023
1680595200017,bottom,58.11426898622308,2023
1680624000008,bottom,7.5083729023068955,2023
1680796800000,bottom,64.51232316042345,2023
1680854400005,bottom,-184.80739757848963,2023
1680912000000,bottom,-645.0105204277016,2023
1681027200024,bottom,-768.0005521712145,2023
1681056000010,bottom,-762.8683400647078,2023
1681430400001,bottom,10.899463475845927,2023
1681516800007,bottom,321.74307213779184,2023
1681804800017,bottom,526.976066660177,2023
1681920000000,bottom,592.8425729714954,2023
1682726400004,bottom,430.3329716153777,2023
1682928000008,bottom,-173.7954729862061,2023
1683936000000,bottom,-154.28250612196035,2023
1684137600005,bottom,-12.758861364813733,2023
1684166400008,bottom,103.9784723084909,2023
1684598400020,bottom,-152.72282911397082,2023
1686009600000,bottom,-308.8721935443732,2023
1686038400009,bottom,-311.3184188118916,2023
1686787200000,bottom,-577.9611566921809,2023
1687248000000,bottom,-1176.4438910180902,2023
1687276800000,bottom,-1546.5177552748225,2023
1688688000000,bottom,-100.65395295928357,2023
1688745600000,bottom,9.079025084036253,2023
1688947200000,bottom,-86.87382247578745,2023
1689206400000,bottom,17.052730368120727,2023
1689264000000,bottom,153.5905299694347,2023
1689379200000,bottom,33.692495698096195,2023
1689926400000,bottom,-33.96732619350183,2023
1690012800000,bottom,252.46448587517744,2023
1690041600000,bottom,223.01646365948292,2023
1692345600000,bottom,137.70851968688947,2023
1692403200000,bottom,-44.184331797233895,2023
1692432000000,bottom,-86.75576449518707,2023
1692460800000,bottom,84.92024483620143,2023
1692489600000,bottom,-1.266569759638557,2023
1692518400000,bottom,-4.718723632737719,2023
1692547200000,bottom,-34.73782180039618,2023
1692576000000,bottom,-109.44551429008008,2023
1692604800000,bottom,-191.19464878313218,2023
1692633600000,bottom,-31.270225052621324,2023
1692662400000,bottom,-32.91372431906735,2023
1692691200000,bottom,32.67185242804739,2023
1692748800000,bottom,-19.414767337814652,2023
1692777600000,bottom,-8.894394582684027,2023
1692835200000,bottom,145.98153040292507,2023
1692921600000,bottom,16.648119841028,2023
1693094400000,bottom,-666.445661580594,2023
1693180800000,bottom,-471.4168768543152,2023
1693324800000,bottom,575.3143690736691,2023
1693670400000,bottom,39.15943193583861,2023
1693843200000,bottom,6.373461823000039,2023
1693872000000,bottom,-175.92763616642125,2023
1693987200000,bottom,-76.33570284185586,2023
