ts,leg,net_bp,year
1692662400000,bottom,-44.13178347997081,2023
1692691200000,bottom,-32.124619210563296,2023
1692748800000,bottom,132.65954938382964,2023
1692777600000,bottom,145.80928836305753,2023
1692835200000,bottom,-110.057043804737,2023
1692921600000,bottom,-57.564659125649996,2023
1693094400000,bottom,20.116565573423244,2023
1693180800000,bottom,-5.451943053841767,2023
1693324800000,bottom,-98.06272793581304,2023
1693670400000,bottom,-25.435459195501263,2023
1693843200000,bottom,-41.53903299648752,2023
1693872000000,bottom,-29.960331603006583,2023
1693987200000,bottom,-2.4894772044985345,2023
1694131200000,bottom,-140.52485513876212,2023
1694188800000,bottom,8.613220990026495,2023
1694217600000,bottom,-16.509642819912283,2023
1694246400000,bottom,-25.941613625033874,2023
1694390400000,bottom,-276.0792159686025,2023
1694534400000,bottom,-2.6248687851897365,2023
1694707200000,bottom,-151.86899072251833,2023
1694736000000,bottom,25.160058249645417,2023
1694764800000,bottom,-40.289820792310124,2023
1694822400000,bottom,-38.01316778402496,2023
1694851200000,bottom,-13.358015739945316,2023
1694880000000,bottom,2.758258348932298,2023
1695052800000,bottom,20.947212473916963,2023
1695110400001,bottom,73.07570148453136,2023
1695139200000,bottom,-82.70089530422119,2023
1695168000000,bottom,-42.76935585338747,2023
1695196800000,bottom,-53.915074309978536,2023
1695513600000,bottom,-144.980034862751,2023
1695600000000,bottom,15.717625336658227,2023
1695686400000,bottom,-48.04167918665158,2023
1695888000000,bottom,252.96770972792547,2023
1695916800000,bottom,-88.22451994091529,2023
1695945600000,bottom,-65.48057542774143,2023
1695974400000,bottom,-98.64930214054367,2023
1696176000000,bottom,314.0392467629167,2023
1696435200000,bottom,49.45798555582371,2023
1696464000000,bottom,-141.98853038331725,2023
1696492800000,bottom,-3.0904873398911334,2023
1696521600001,bottom,122.8978525827047,2023
1696608000000,bottom,-11.098749955228847,2023
1697558400000,bottom,-87.69901547116697,2023
1697587200000,bottom,-46.943995208145616,2023
1697731200000,bottom,288.94997802688295,2023
1697760000000,bottom,319.55400696864154,2023
1699545600000,top,11.528438680689767,2023
1699603200000,top,-162.91280233790604,2023
1699689600000,top,-42.14734853596068,2023
1699718400000,top,-37.79855052542901,2023
1699747200000,top,7.383959071908933,2023
1699776000000,top,31.26457710452125,2023
1699804800001,top,76.6942924958143,2023
1699833600000,top,154.2844581499232,2023
1699862400000,top,62.36972136540909,2023
1699891200000,top,185.64976578764725,2023
1699920000000,top,235.0020178978758,2023
1699948800000,top,275.22377862408143,2023
1699977600001,top,-87.36375874546385,2023
1700121600000,top,312.8512590695694,2023
1700150400001,top,81.49548561811672,2023
1702022400000,top,-246.85033991568227,2023
