offset_min,mean_ret_all,n_all,mean_ret_top_quartile_funding,n_top_quartile,mean_ret_bottom_quartile_funding,n_bottom_quartile,cum_ret_all,cum_ret_top_quartile,cum_ret_bottom_quartile
5,1.545021355040132e-05,6113.0,6.19824619566862e-05,1026.0,6.883419224645795e-07,2104.0,0.00011413863236619578,0.0006031946158209119,-8.634187501943158e-05
6,1.8687719147930248e-05,6113.0,-1.7761998761570028e-05,1026.0,2.8474835745159732e-05,2104.0,0.00013282635151412603,0.0005854326170593419,-5.7867039274271843e-05
7,2.0947306682347907e-05,6113.0,3.79457056715009e-05,1026.0,2.9515236800415117e-05,2104.0,0.00015377365819647395,0.0006233783227308428,-2.8351802473856727e-05
8,3.283927091746255e-05,6113.0,-1.6839476116722317e-05,1026.0,3.0452263315883453e-05,2104.0,0.0001866129291139365,0.0006065388466141205,2.100460842026727e-06
9,1.5312943398533574e-05,6113.0,-1.2418835367890808e-05,1026.0,4.471855468945268e-05,2104.0,0.00020192587251247009,0.0005941200112462297,4.681901553147941e-05
10,-6.84010244841043e-06,6113.0,-2.490871553879186e-05,1026.0,-1.914319570424293e-06,2104.0,0.00019508577006405964,0.0005692112957074378,4.490469596105512e-05
11,-1.5074977229936312e-06,6113.0,-1.9449415000590805e-06,1026.0,-3.6320379048852206e-06,2104.0,0.000193578272341066,0.0005672663542073788,4.12726580561699e-05
12,-7.814070170311636e-07,6113.0,-3.776593217423133e-05,1026.0,5.113416665429487e-05,2104.0,0.00019279686532403485,0.0005295004220331475,9.240682471046478e-05
13,1.319741693756907e-05,6113.0,2.8303392483110058e-05,1026.0,7.120177750549633e-06,2104.0,0.00020599428226160394,0.0005578038145162576,9.952700246101441e-05
14,3.784021518022818e-05,6113.0,9.797765300309194e-06,1026.0,5.516416698219737e-05,2104.0,0.00024383449744183212,0.0005676015798165668,0.00015469116944321178
15,4.228370935206709e-06,6113.0,9.19316973860333e-07,1026.0,-2.930036788406078e-05,2104.0,0.00024806286837703885,0.0005685208967904271,0.000125390801559151
16,-3.757419186822792e-05,6113.0,-1.6302015559902495e-05,1026.0,-6.14067445818265e-05,2104.0,0.00021048867650881093,0.0005522188812305246,6.39840569773245e-05
17,-1.4878080296710827e-07,6113.0,-2.312392856838509e-05,1026.0,5.611477522509284e-06,2104.0,0.0002103398957058438,0.0005290949526621395,6.959553449983378e-05
18,-1.1231174204511368e-05,6113.0,-1.3570634243749573e-05,1026.0,-2.4710649573716985e-05,2104.0,0.00019910872150133245,0.0005155243184183899,4.48848849261168e-05
19,2.1056139054968854e-05,6113.0,8.29836498537704e-05,1026.0,2.0355072469034992e-05,2104.0,0.0002201648605563013,0.0005985079682721603,6.52399573951518e-05
20,-1.2129902471834488e-05,6113.0,-1.4047253337932209e-05,1026.0,9.563056577665167e-06,2104.0,0.00020803495808446683,0.0005844607149342281,7.480301397281696e-05
21,-3.2649704198280795e-05,6113.0,-5.8539297685656686e-05,1026.0,-1.059649236419538e-05,2104.0,0.00017538525388618604,0.0005259214172485715,6.420652160862157e-05
22,-2.5662964095152215e-05,6113.0,9.173276031645414e-06,1026.0,-3.351784809047577e-05,2104.0,0.00014972228979103384,0.0005350946932802168,3.0688673518145805e-05
23,3.632685655199186e-05,6113.0,9.54487782565157e-05,1026.0,4.736346618249052e-05,2104.0,0.0001860491463430257,0.0006305434715367325,7.805213970063632e-05
24,1.9187958002647488e-05,6113.0,-3.79052979474831e-05,1026.0,2.039825368741286e-05,2104.0,0.0002052371043456732,0.0005926381735892495,9.845039338804918e-05
25,-1.123808369167188e-05,6113.0,-3.3368243312292065e-06,1026.0,3.252010887470211e-05,2104.0,0.00019399902065400133,0.0005893013492580203,0.0001309705022627513
26,1.5562360848928206e-05,6113.0,2.1048650994154956e-07,1026.0,4.929514105956586e-05,2104.0,0.00020956138150292954,0.0005895118357679618,0.00018026564332231717
27,9.098879506554506e-06,6113.0,2.3215007378311927e-05,1026.0,6.264726171651502e-06,2104.0,0.00021866026100948404,0.0006127268431462738,0.00018653036949396867
28,3.4244729829165824e-06,6113.0,-1.2942613048828918e-05,1026.0,4.602588761622674e-06,2104.0,0.00022208473399240063,0.0005997842300974449,0.00019113295825559136
29,3.4897697616105055e-05,6113.0,3.810073071207735e-05,1026.0,2.1763775401908715e-05,2104.0,0.00025698243160850566,0.0006378849608095222,0.00021289673365750008
30,-1.8721831250918358e-05,6113.0,6.147328174730829e-06,1026.0,-2.6724444848786443e-05,2104.0,0.0002382606003575873,0.0006440322889842531,0.00018617228880871364
31,-3.4986263948896824e-05,6113.0,1.8391521689268344e-05,1026.0,-6.990661935940082e-05,2104.0,0.0002032743364086905,0.0006624238106735215,0.00011626566944931282
32,1.636702777961455e-05,6113.0,4.951783489211949e-06,1026.0,7.447521941452132e-06,2104.0,0.00021964136418830505,0.0006673755941627334,0.00012371319139076496
33,-7.379187314531434e-06,6113.0,-1.700160817778031e-05,1026.0,-2.6427633370906232e-05,2104.0,0.0002122621768737736,0.0006503739859849532,9.728555801985873e-05
34,-2.6343611153974615e-05,6113.0,-2.8642986547108566e-06,1026.0,-6.127841905298997e-05,2104.0,0.000185918565719799,0.0006475096873302423,3.6007138966868756e-05
35,2.045852231723382e-05,6113.0,-4.923636445875832e-06,1026.0,-6.622958110304985e-06,2104.0,0.00020637708803703282,0.0006425860508843665,2.938418085656377e-05
36,5.114185165633161e-06,6113.0,-2.1061152342871192e-06,1026.0,-1.316568219526318e-05,2104.0,0.000211491273202666,0.0006404799356500793,1.621849866130059e-05
37,-2.1562133406954755e-05,6113.0,7.169002392239172e-06,1026.0,-3.26378653423762e-05,2104.0,0.00018992913979571123,0.0006476489380423185,-1.641936668107561e-05
38,1.643100262707912e-05,6113.0,4.742624368628338e-05,1026.0,-9.791414149412183e-06,2104.0,0.00020636014242279035,0.0006950751817286019,-2.6210780830487794e-05
39,1.3364851238298179e-05,6113.0,-1.4315776069712355e-05,1026.0,1.9133211231453506e-05,2104.0,0.00021972499366108852,0.0006807594056588895,-7.077569599034287e-06
40,7.726215869981015e-06,6113.0,5.811020054943984e-06,1026.0,-1.9803394529410626e-05,2104.0,0.00022745120953106954,0.0006865704257138335,-2.6880964128444913e-05
41,-1.078024294325977e-05,6113.0,-2.1356761422273177e-05,1026.0,1.4847935594876207e-05,2104.0,0.00021667096658780976,0.0006652136642915603,-1.2033028533568706e-05
42,-2.2851160439748803e-05,6113.0,-1.784714726254947e-05,1026.0,-4.0709653427751956e-05,2104.0,0.00019381980614806095,0.0006473665170290109,-5.2742681961320664e-05
43,1.4759784459502873e-05,6113.0,1.3452835312181132e-05,1026.0,-1.1193522961129792e-05,2104.0,0.00020857959060756383,0.000660819352341192,-6.393620492245046e-05
44,1.2009222301717134e-05,6113.0,4.5788672364342604e-05,1026.0,-9.33540772936268e-06,2104.0,0.00022058881290928096,0.0007066080247055347,-7.327161265181313e-05
45,1.037620227904714e-05,6113.0,-1.5915093710244116e-05,1026.0,1.558318995343373e-05,2104.0,0.0002309650151883281,0.0006906929309952905,-5.7688422698379405e-05
46,9.213783074287993e-07,6113.0,6.0832906467426405e-05,1026.0,-1.063526503906127e-05,2104.0,0.0002318863934957569,0.000751525837462717,-6.832368773744068e-05
47,-1.7752456598162066e-05,6113.0,-3.7804271947065215e-05,1026.0,-7.283095273139279e-06,2104.0,0.00021413393689759483,0.0007137215655156517,-7.560678301057995e-05
48,-1.4302976410175125e-05,6113.0,-2.702359415209223e-05,1026.0,3.429706749840926e-06,2104.0,0.0001998309604874197,0.0006866979713635595,-7.217707626073903e-05
49,5.032973468506146e-06,6113.0,-2.3535694951563504e-05,1026.0,5.631804171152235e-05,2104.0,0.00020486393395592584,0.000663162276411996,-1.5859034549216676e-05
50,-1.2912886318141941e-05,6113.0,-1.623233019188611e-06,1026.0,-1.6856388628641972e-05,2104.0,0.0001919510476377839,0.0006615390433928073,-3.271542317785865e-05
51,6.868126943164993e-06,6113.0,-3.006603703664592e-05,1026.0,3.5702467322294656e-05,2104.0,0.00019881917458094888,0.0006314730063561614,2.987044144436008e-06
52,-1.4952571728024246e-05,6113.0,-4.154766494959367e-05,1026.0,-1.5554426704736402e-05,2104.0,0.00018386660285292462,0.0005899253414065677,-1.2567382560300394e-05
