symbol,regime,start_date,end_date,observations,calendar_days,cumulative_next_return,max_drawdown
BTCUSDT,downtrend_low_vol,2026-06-02 00:00:00+00:00,2026-06-10 00:00:00+00:00,9,9,-0.04693690994,-0.08812078525
BTCUSDT,downtrend_high_vol,2026-06-11 00:00:00+00:00,2026-06-12 00:00:00+00:00,2,2,0.01289822463,-0.0008003408918
BTCUSDT,downtrend_low_vol,2026-06-13 00:00:00+00:00,2026-06-13 00:00:00+00:00,1,1,0.01993070281,0
BTCUSDT,downtrend_high_vol,2026-06-14 00:00:00+00:00,2026-07-01 00:00:00+00:00,18,18,-0.06333891915,-0.1158692874
BTCUSDT,downtrend_low_vol,2026-07-02 00:00:00+00:00,2026-07-31 00:00:00+00:00,30,30,0.02143788003,-0.05505664257
ETHUSDT,uptrend_low_vol,2021-10-10 00:00:00+00:00,2021-12-12 00:00:00+00:00,64,64,0.107062644,-0.214708265
ETHUSDT,uptrend_high_vol,2021-12-13 00:00:00+00:00,2021-12-15 00:00:00+00:00,3,3,0.04709268032,-0.01501364764
ETHUSDT,uptrend_low_vol,2021-12-16 00:00:00+00:00,2022-01-04 00:00:00+00:00,20,20,-0.1063387451,-0.1395154817
ETHUSDT,downtrend_low_vol,2022-01-05 00:00:00+00:00,2022-02-03 00:00:00+00:00,30,30,-0.1537887503,-0.3184969938
ETHUSDT,downtrend_high_vol,2022-02-04 00:00:00+00:00,2022-02-06 00:00:00+00:00,3,3,0.04840245186,0
ETHUSDT,downtrend_low_vol,2022-02-07 00:00:00+00:00,2022-02-08 00:00:00+00:00,2,2,0.03290372943,-0.007430182728
ETHUSDT,downtrend_high_vol,2022-02-09 00:00:00+00:00,2022-02-11 00:00:00+00:00,3,3,-0.1002183958,-0.1002183958
ETHUSDT,downtrend_low_vol,2022-02-12 00:00:00+00:00,2022-02-14 00:00:00+00:00,3,3,0.09146602764,-0.01597912874
ETHUSDT,downtrend_high_vol,2022-02-15 00:00:00+00:00,2022-02-19 00:00:00+00:00,5,5,-0.1768397446,-0.1768397446
ETHUSDT,downtrend_low_vol,2022-02-20 00:00:00+00:00,2022-02-27 00:00:00+00:00,8,8,0.1142357825,-0.05836977845
ETHUSDT,downtrend_high_vol,2022-02-28 00:00:00+00:00,2022-03-01 00:00:00+00:00,2,2,0.009372966679,-0.009456884471
ETHUSDT,downtrend_low_vol,2022-03-02 00:00:00+00:00,2022-03-02 00:00:00+00:00,1,1,-0.03884687546,-0.03884687546
ETHUSDT,downtrend_high_vol,2022-03-03 00:00:00+00:00,2022-03-05 00:00:00+00:00,3,3,-0.1001069549,-0.1001069549
ETHUSDT,downtrend_low_vol,2022-03-06 00:00:00+00:00,2022-03-09 00:00:00+00:00,4,4,0.02199366902,-0.04435568173
ETHUSDT,downtrend_high_vol,2022-03-10 00:00:00+00:00,2022-03-10 00:00:00+00:00,1,1,-0.01901790101,-0.01901790101
ETHUSDT,downtrend_low_vol,2022-03-11 00:00:00+00:00,2022-04-06 00:00:00+00:00,27,27,0.2618500796,-0.1005407923
ETHUSDT,uptrend_low_vol,2022-04-07 00:00:00+00:00,2022-04-10 00:00:00+00:00,4,4,-0.07641815109,-0.08559859771
ETHUSDT,downtrend_low_vol,2022-04-11 00:00:00+00:00,2022-04-18 00:00:00+00:00,8,8,0.04086695829,-0.04184889859
ETHUSDT,uptrend_low_vol,2022-04-19 00:00:00+00:00,2022-05-04 00:00:00+00:00,16,16,-0.1141942059,-0.1210545668
ETHUSDT,downtrend_low_vol,2022-05-05 00:00:00+00:00,2022-05-14 00:00:00+00:00,10,10,-0.2193076679,-0.2864107895
ETHUSDT,downtrend_high_vol,2022-05-15 00:00:00+00:00,2022-06-09 00:00:00+00:00,26,26,-0.2248620614,-0.2248620614
ETHUSDT,downtrend_low_vol,2022-06-10 00:00:00+00:00,2022-06-11 00:00:00+00:00,2,2,-0.1369475616,-0.1369475616
ETHUSDT,downtrend_high_vol,2022-06-12 00:00:00+00:00,2022-08-16 00:00:00+00:00,66,66,0.278314219,-0.306940426
ETHUSDT,downtrend_low_vol,2022-08-17 00:00:00+00:00,2022-08-18 00:00:00+00:00,2,2,-0.1228545717,-0.1287042354
ETHUSDT,downtrend_high_vol,2022-08-19 00:00:00+00:00,2022-08-23 00:00:00+00:00,5,5,0.02948473223,-0.02074252778
ETHUSDT,downtrend_low_vol,2022-08-24 00:00:00+00:00,2022-08-28 00:00:00+00:00,5,5,-0.06344106154,-0.1581078529
ETHUSDT,downtrend_high_vol,2022-08-29 00:00:00+00:00,2022-09-03 00:00:00+00:00,6,6,0.01771492323,-0.01828560616
ETHUSDT,downtrend_low_vol,2022-09-04 00:00:00+00:00,2022-09-08 00:00:00+00:00,5,5,0.08829381424,-0.03629740494
ETHUSDT,uptrend_low_vol,2022-09-09 00:00:00+00:00,2022-09-13 00:00:00+00:00,5,5,-0.04779677201,-0.1134485773
ETHUSDT,uptrend_high_vol,2022-09-14 00:00:00+00:00,2022-09-24 00:00:00+00:00,11,11,-0.2087575441,-0.239208996
ETHUSDT,uptrend_low_vol,2022-09-25 00:00:00+00:00,2022-10-13 00:00:00+00:00,19,19,0.001051012759,-0.05956361659
ETHUSDT,downtrend_low_vol,2022-10-14 00:00:00+00:00,2022-11-08 00:00:00+00:00,26,26,-0.1496583935,-0.3300305944
ETHUSDT,downtrend_high_vol,2022-11-09 00:00:00+00:00,2022-12-08 00:00:00+00:00,30,30,0.1460022333,-0.1473259334
ETHUSDT,downtrend_low_vol,2022-12-09 00:00:00+00:00,2023-01-07 00:00:00+00:00,30,30,0.02165870507,-0.1172240474
ETHUSDT,uptrend_low_vol,2023-01-08 00:00:00+00:00,2023-01-23 00:00:00+00:00,16,16,0.2065211491,-0.06209727488
ETHUSDT,downtrend_low_vol,2023-01-24 00:00:00+00:00,2023-01-24 00:00:00+00:00,1,1,0.03561719548,0
ETHUSDT,uptrend_low_vol,2023-01-25 00:00:00+00:00,2023-01-26 00:00:00+00:00,2,2,-0.008892832985,-0.008892832985
ETHUSDT,downtrend_low_vol,2023-01-27 00:00:00+00:00,2023-01-28 00:00:00+00:00,2,2,0.0304242743,-0.01600420768
ETHUSDT,uptrend_low_vol,2023-01-29 00:00:00+00:00,2023-01-29 00:00:00+00:00,1,1,-0.04846050545,-0.04846050545
ETHUSDT,downtrend_low_vol,2023-01-30 00:00:00+00:00,2023-01-30 00:00:00+00:00,1,1,0.01219730254,0
ETHUSDT,uptrend_low_vol,2023-01-31 00:00:00+00:00,2023-02-01 00:00:00+00:00,2,2,0.03709101462,0
ETHUSDT,downtrend_low_vol,2023-02-02 00:00:00+00:00,2023-02-02 00:00:00+00:00,1,1,0.0120877717,0
ETHUSDT,uptrend_low_vol,2023-02-03 00:00:00+00:00,2023-06-13 00:00:00+00:00,131,131,-0.008114541258,-0.2209112927
ETHUSDT,downtrend_low_vol,2023-06-14 00:00:00+00:00,2023-06-19 00:00:00+00:00,6,6,0.08556036311,-0.00417438629
ETHUSDT,uptrend_low_vol,2023-06-20 00:00:00+00:00,2023-07-05 00:00:00+00:00,16,16,0.02983749867,-0.05635805627
ETHUSDT,downtrend_low_vol,2023-07-06 00:00:00+00:00,2023-07-06 00:00:00+00:00,1,1,0.01364902809,0
ETHUSDT,uptrend_low_vol,2023-07-07 00:00:00+00:00,2023-07-08 00:00:00+00:00,2,2,-0.004379679144,-0.004379679144
ETHUSDT,downtrend_low_vol,2023-07-09 00:00:00+00:00,2023-07-19 00:00:00+00:00,11,11,0.01544196239,-0.05847524417
ETHUSDT,uptrend_low_vol,2023-07-20 00:00:00+00:00,2023-07-23 00:00:00+00:00,4,4,-0.02196174678,-0.02210657697
ETHUSDT,downtrend_low_vol,2023-07-24 00:00:00+00:00,2023-07-28 00:00:00+00:00,5,5,0.01666270064,-0.005718928048
ETHUSDT,uptrend_low_vol,2023-07-29 00:00:00+00:00,2023-07-30 00:00:00+00:00,2,2,-0.01301167646,-0.01301167646
ETHUSDT,downtrend_low_vol,2023-07-31 00:00:00+00:00,2023-08-07 00:00:00+00:00,8,8,-1.61691073e-05,-0.02395558047
ETHUSDT,uptrend_low_vol,2023-08-08 00:00:00+00:00,2023-08-16 00:00:00+00:00,9,9,-0.09397637116,-0.09397637116
ETHUSDT,downtrend_low_vol,2023-08-17 00:00:00+00:00,2023-10-31 00:00:00+00:00,76,76,0.0994646044,-0.1122540225
ETHUSDT,uptrend_low_vol,2023-11-01 00:00:00+00:00,2023-11-01 00:00:00+00:00,1,1,-0.02571150308,-0.02571150308
ETHUSDT,downtrend_low_vol,2023-11-02 00:00:00+00:00,2023-11-03 00:00:00+00:00,2,2,0.03076615501,0
