variant,symbol,direction,ret_threshold,oi_threshold,entry_delay_min,exit_hold_h,n_events,mean_net_bp,median_net_bp,win_rate,std_bp,t_stat,null_percentile,edge_vs_null_bp,significant,year_breakdown
btc_long_ret-5_oi-2_entry60_exit24h,BTCUSDT,long,-0.05,-0.02,60,24,17,233.93243327522686,187.0075069142614,0.7058823529411765,308.32587476054283,3.128275018762547,100.0,231.98564804060481,True,"{""2021"": {""n"": 0, ""mean_bp"": null}, ""2022"": {""n"": 0, ""mean_bp"": null}, ""2023"": {""n"": 6, ""mean_bp"": 155.7052422511003}, ""2024"": {""n"": 8, ""mean_bp"": 221.54988545307896}, ""2025"": {""n"": 2, ""mean_bp"": 229.18847399935618}, ""2026"": {""n"": 1, ""mean_bp"": 811.843880548911}}"
btc_long_ret-5_oi-2_entry60_exit72h,BTCUSDT,long,-0.05,-0.02,60,72,17,194.03138609438284,151.53541340535327,0.7647058823529411,395.99706981113917,2.0202470183268977,95.0,170.37573721954902,True,"{""2021"": {""n"": 0, ""mean_bp"": null}, ""2022"": {""n"": 0, ""mean_bp"": null}, ""2023"": {""n"": 6, ""mean_bp"": 110.0596606537229}, ""2024"": {""n"": 8, ""mean_bp"": 155.2591310331208}, ""2025"": {""n"": 2, ""mean_bp"": 252.19763924354055}, ""2026"": {""n"": 1, ""mean_bp"": 891.7072729301229}}"
btc_long_ret-5_oinone_entry0_exit4h,BTCUSDT,long,-0.05,,0,4,68,147.7625647900127,164.93323209495884,0.7352941176470589,318.8253835744334,3.8217826655521696,100.0,160.42372151974405,True,"{""2021"": {""n"": 34, ""mean_bp"": 189.63111044524243}, ""2022"": {""n"": 13, ""mean_bp"": 8.9976637015525}, ""2023"": {""n"": 7, ""mean_bp"": 195.6640176520714}, ""2024"": {""n"": 9, ""mean_bp"": 148.77287667704175}, ""2025"": {""n"": 4, ""mean_bp"": 234.72792490226004}, ""2026"": {""n"": 1, ""mean_bp"": -164.0886908044774}}"
btc_long_ret-5_oinone_entry0_exit24h,BTCUSDT,long,-0.05,,0,24,68,249.5451949521522,226.69131810352752,0.7352941176470589,544.8385037808724,3.7769033943566015,100.0,255.00755565352702,True,"{""2021"": {""n"": 34, ""mean_bp"": 294.31265043794343}, ""2022"": {""n"": 13, ""mean_bp"": 32.10010420795692}, ""2023"": {""n"": 7, ""mean_bp"": 253.61438648448075}, ""2024"": {""n"": 9, ""mean_bp"": 319.38214914457063}, ""2025"": {""n"": 4, ""mean_bp"": 429.31579328027453}, ""2026"": {""n"": 1, ""mean_bp"": 178.13856633923055}}"
btc_long_ret-5_oinone_entry0_exit72h,BTCUSDT,long,-0.05,,0,72,68,283.68025689462274,297.30686708243263,0.7205882352941176,755.6477859703366,3.0957376830712957,100.0,265.0055039908612,True,"{""2021"": {""n"": 34, ""mean_bp"": 393.7837950273441}, ""2022"": {""n"": 13, ""mean_bp"": 44.14430998689751}, ""2023"": {""n"": 7, ""mean_bp"": 243.26481240855017}, ""2024"": {""n"": 9, ""mean_bp"": 228.24204888927196}, ""2025"": {""n"": 4, ""mean_bp"": 248.70611208448756}, ""2026"": {""n"": 1, ""mean_bp"": 575.875832873732}}"
btc_long_ret-5_oinone_entry30_exit4h,BTCUSDT,long,-0.05,,30,4,68,81.75193634553122,60.84602797320772,0.6029411764705882,271.8653585211903,2.4796970859759164,100.0,93.93522850634761,True,"{""2021"": {""n"": 34, ""mean_bp"": 95.44727461051484}, ""2022"": {""n"": 13, ""mean_bp"": 86.67630397102532}, ""2023"": {""n"": 7, ""mean_bp"": 130.99350904426348}, ""2024"": {""n"": 9, ""mean_bp"": 65.90161061296502}, ""2025"": {""n"": 4, ""mean_bp"": -14.351535440963893}, ""2026"": {""n"": 1, ""mean_bp"": -265.53053394738504}}"
btc_long_ret-5_oinone_entry30_exit24h,BTCUSDT,long,-0.05,,30,24,68,163.97481465013462,185.68814725572548,0.6470588235294118,535.6681306856044,2.524269942579029,100.0,172.1441607043622,True,"{""2021"": {""n"": 34, ""mean_bp"": 182.05447149749443}, ""2022"": {""n"": 13, ""mean_bp"": 60.311243467956125}, ""2023"": {""n"": 7, ""mean_bp"": 172.8174384426486}, ""2024"": {""n"": 9, ""mean_bp"": 205.41084387320637}, ""2025"": {""n"": 4, ""mean_bp"": 210.05270103178165}, ""2026"": {""n"": 1, ""mean_bp"": 277.75873212638817}}"
btc_long_ret-5_oinone_entry30_exit72h,BTCUSDT,long,-0.05,,30,72,68,203.82420286466976,178.11114381871732,0.6176470588235294,738.7479187898485,2.2751704501449033,100.0,192.2476741788972,True,"{""2021"": {""n"": 34, ""mean_bp"": 285.6631384902444}, ""2022"": {""n"": 13, ""mean_bp"": 74.05322390193794}, ""2023"": {""n"": 7, ""mean_bp"": 164.84385076681633}, ""2024"": {""n"": 9, ""mean_bp"": 141.11207140383908}, ""2025"": {""n"": 4, ""mean_bp"": 45.66450088588676}, ""2026"": {""n"": 1, ""mean_bp"": 578.2335738582252}}"
btc_long_ret-5_oinone_entry60_exit4h,BTCUSDT,long,-0.05,,60,4,68,19.9967567843078,16.789291437366415,0.5735294117647058,249.65124589989418,0.6605113472940417,98.0,32.71094665854561,True,"{""2021"": {""n"": 34, ""mean_bp"": 34.798339152220876}, ""2022"": {""n"": 13, ""mean_bp"": -6.0154608858959335}, ""2023"": {""n"": 7, ""mean_bp"": 127.13213547105723}, ""2024"": {""n"": 9, ""mean_bp"": 12.01504294882497}, ""2025"": {""n"": 4, ""mean_bp"": -23.742366129302233}, ""2026"": {""n"": 1, ""mean_bp"": -648.2539486455489}}"
btc_long_ret-5_oinone_entry60_exit24h,BTCUSDT,long,-0.05,,60,24,68,138.99941889718872,207.6149862524963,0.6323529411764706,522.8324486096906,2.1923248548807157,100.0,144.29040093681562,True,"{""2021"": {""n"": 34, ""mean_bp"": 171.80863324265312}, ""2022"": {""n"": 13, ""mean_bp"": -1.7078769628490362}, ""2023"": {""n"": 7, ""mean_bp"": 120.66462745670094}, ""2024"": {""n"": 9, ""mean_bp"": 221.65199288770225}, ""2025"": {""n"": 4, ""mean_bp"": 142.3810977676833}, ""2026"": {""n"": 1, ""mean_bp"": 223.62463601870732}}"
